Product_ID,Product_Name,Material,CO2_per_kg,Recyclability_Score,Biodegradability_Score,Source_Country,Packaging_Type,Transport_Distance_km,Transport_Mode,Delivery_Carbon_kgCO2e,Energy_Consumption_kWh,Water_Usage_Liters,Waste_Generated_kg,Total_Sustainability_Score
P-00001,Aluminum Product 1,Glass,10.64,0.64,0.45,USA,Paper,11156.8,Air,128.67,290.41,1136.2,1.07,100.0
P-00002,Paper Product 2,Leather,7.06,0.38,0.55,Bangladesh,Plastic,8312.7,Road,13.18,198.92,1091.3,3.31,100.0
P-00003,Steel Product 3,Polyester,12.13,0.35,0.77,Turkey,Bioplastic,590.0,Road,91.74,34.57,1501.7,4.5,100.0
P-00004,Polyester Product 4,Polyester,13.59,0.22,0.23,Vietnam,Plastic,4403.5,Sea,74.19,67.95,1844.6,3.78,100.0
P-00005,Paper Product 5,Aluminum,8.65,0.85,0.1,Germany,Bioplastic,8326.5,Rail,31.78,238.89,181.1,1.98,100.0
P-00006,Cotton Product 6,Steel,8.88,0.87,0.12,Vietnam,Bioplastic,3295.5,Road,56.89,165.0,2263.5,3.43,100.0
P-00007,Steel Product 7,Wool,14.25,0.78,0.55,Vietnam,Cardboard,9533.9,Road,103.68,262.3,945.2,4.95,100.0
P-00008,Leather Product 8,Wool,10.82,0.4,0.5,Germany,Cardboard,7502.2,Air,86.02,51.74,3107.9,1.54,100.0
P-00009,Polyester Product 9,Steel,9.51,0.39,0.4,Bangladesh,Paper,1799.0,Air,61.22,79.9,4240.3,1.97,100.0
P-00010,Plastic Product 10,Polyester,4.02,0.56,0.3,Turkey,Plastic,2621.7,Road,46.53,226.33,2008.4,1.07,100.0
P-00011,Steel Product 11,Steel,1.29,0.47,0.48,USA,Paper,11937.5,Air,109.15,270.21,3214.2,2.58,100.0
P-00012,Wood Product 12,Aluminum,1.99,0.62,0.5,Germany,Paper,1357.9,Road,71.74,227.41,4586.1,3.0,100.0
P-00013,Aluminum Product 13,Steel,12.21,0.76,0.36,China,Paper,4901.3,Air,136.55,213.86,328.9,3.75,100.0
P-00014,Wood Product 14,Polyester,9.67,0.29,0.26,Vietnam,Recycled,673.1,Sea,29.93,251.03,2270.3,1.31,100.0
P-00015,Steel Product 15,Wood,2.65,0.66,0.59,Bangladesh,Cardboard,2569.5,Road,46.49,111.86,2061.6,4.4,100.0
P-00016,Polyester Product 16,Plastic,5.9,0.49,0.17,China,Recycled,5518.5,Rail,43.66,182.74,2427.1,2.46,100.0
P-00017,Wool Product 17,Steel,7.41,0.48,0.8,Brazil,Paper,1861.3,Rail,113.24,282.63,298.9,0.44,100.0
P-00018,Wood Product 18,Polyester,1.25,0.74,0.1,India,Cardboard,9831.6,Road,141.41,58.4,1196.1,1.99,100.0
P-00019,Aluminum Product 19,Plastic,7.75,0.7,0.7,Brazil,Cardboard,10073.4,Road,87.84,10.51,1891.2,1.77,100.0
P-00020,Cotton Product 20,Paper,9.03,0.68,0.44,Germany,Bioplastic,7968.3,Sea,44.36,225.31,1120.1,0.12,100.0
P-00021,Plastic Product 21,Wool,1.99,0.31,0.33,India,Recycled,8212.4,Rail,5.39,233.74,4705.3,1.63,100.0
P-00022,Aluminum Product 22,Leather,11.74,0.89,0.25,India,Recycled,4329.3,Road,61.9,48.27,1322.5,2.42,100.0
P-00023,Leather Product 23,Wool,6.75,0.81,0.51,Vietnam,Recycled,1431.9,Rail,92.56,74.74,3854.5,4.57,100.0
P-00024,Leather Product 24,Steel,12.42,0.65,0.27,USA,Cardboard,9762.4,Rail,128.57,119.47,1452.5,2.42,100.0
P-00025,Polyester Product 25,Paper,7.03,0.38,0.2,USA,Plastic,8828.1,Rail,69.88,271.93,3582.9,4.87,100.0
P-00026,Aluminum Product 26,Plastic,6.62,0.92,0.4,Bangladesh,Paper,1951.6,Road,102.77,235.76,3809.9,3.89,100.0
P-00027,Wood Product 27,Wool,13.54,0.55,0.2,Bangladesh,Bioplastic,11236.5,Rail,75.28,185.52,921.2,3.56,100.0
P-00028,Aluminum Product 28,Plastic,6.65,0.67,0.85,India,Paper,10307.4,Rail,94.55,163.85,683.5,3.63,100.0
P-00029,Plastic Product 29,Glass,11.98,0.42,0.47,India,Cardboard,7961.6,Rail,53.2,214.53,3995.8,0.2,100.0
P-00030,Aluminum Product 30,Plastic,3.52,0.75,0.8,Vietnam,Plastic,3862.9,Road,93.51,232.4,1570.1,4.68,100.0
P-00031,Wool Product 31,Polyester,2.75,0.27,0.23,Germany,Bioplastic,153.4,Rail,72.39,247.58,1287.7,0.8,100.0
P-00032,Cotton Product 32,Wood,14.05,0.94,0.21,USA,Plastic,1838.0,Road,64.64,29.74,3178.3,2.83,100.0
P-00033,Steel Product 33,Plastic,13.04,0.53,0.83,Bangladesh,Cardboard,11221.7,Air,57.66,144.6,1411.8,1.1,100.0
P-00034,Wood Product 34,Aluminum,10.54,0.86,0.78,USA,Bioplastic,11499.0,Road,84.49,270.09,325.7,3.76,100.0
P-00035,Wool Product 35,Glass,10.83,0.64,0.38,USA,Recycled,5966.2,Sea,14.5,117.33,2639.1,1.01,100.0
P-00036,Polyester Product 36,Wood,6.26,0.31,0.55,Turkey,Cardboard,2786.6,Sea,59.13,233.05,1153.8,1.42,100.0
P-00037,Paper Product 37,Paper,2.86,0.43,0.84,Italy,Recycled,487.9,Air,4.88,6.13,2329.7,3.06,100.0
P-00038,Leather Product 38,Paper,3.68,0.26,0.39,Brazil,Paper,11625.8,Air,61.32,25.01,1087.4,3.33,100.0
P-00039,Polyester Product 39,Aluminum,2.31,0.53,0.55,China,Plastic,1042.9,Sea,49.11,276.71,2147.8,0.17,100.0
P-00040,Polyester Product 40,Steel,9.74,0.81,0.56,Germany,Plastic,8397.5,Road,63.14,27.34,519.7,2.59,100.0
P-00041,Cotton Product 41,Cotton,3.06,0.67,0.73,UK,Plastic,7211.8,Rail,25.23,133.61,853.4,2.08,100.0
P-00042,Cotton Product 42,Plastic,5.76,0.6,0.52,USA,Recycled,11619.7,Air,140.72,287.87,3154.9,0.58,100.0
P-00043,Steel Product 43,Plastic,8.95,0.74,0.42,UK,Recycled,8901.1,Road,70.34,211.84,4414.8,4.32,100.0
P-00044,Cotton Product 44,Plastic,5.75,0.72,0.69,Italy,Recycled,1024.4,Air,44.17,268.08,3512.9,1.91,100.0
P-00045,Aluminum Product 45,Plastic,4.79,0.8,0.55,Vietnam,Paper,4510.5,Air,87.6,156.23,1887.0,1.57,100.0
P-00046,Leather Product 46,Cotton,9.67,0.6,0.88,China,Paper,9699.9,Road,57.84,179.01,830.3,0.3,100.0
P-00047,Glass Product 47,Wool,13.44,0.6,0.28,India,Bioplastic,2347.9,Road,136.26,5.28,3109.2,0.56,100.0
P-00048,Wool Product 48,Steel,3.69,0.79,0.81,USA,Bioplastic,8300.0,Sea,35.36,165.44,1430.2,0.52,100.0
P-00049,Leather Product 49,Steel,5.23,0.27,0.66,Germany,Recycled,11942.3,Road,40.57,141.58,2106.4,3.57,100.0
P-00050,Plastic Product 50,Steel,14.95,0.26,0.82,India,Paper,2197.2,Sea,144.34,108.23,3511.6,1.4,100.0
P-00051,Paper Product 51,Plastic,11.78,0.29,0.76,China,Cardboard,5469.7,Rail,138.62,169.76,4278.7,0.13,100.0
P-00052,Leather Product 52,Cotton,14.4,0.65,0.41,Germany,Paper,1795.0,Road,122.86,104.26,2247.0,4.04,100.0
P-00053,Wool Product 53,Steel,9.12,0.66,0.66,Italy,Cardboard,2668.7,Air,104.62,74.5,2440.0,0.83,100.0
P-00054,Aluminum Product 54,Paper,3.05,0.51,0.12,UK,Cardboard,4127.0,Rail,134.27,105.89,1717.8,4.63,100.0
P-00055,Leather Product 55,Glass,4.72,0.43,0.81,India,Paper,8782.5,Air,43.18,242.76,194.0,1.5,100.0
P-00056,Cotton Product 56,Wool,12.69,0.4,0.65,UK,Paper,7259.7,Rail,45.2,167.42,4506.5,3.74,100.0
P-00057,Leather Product 57,Wool,13.36,0.93,0.82,China,Bioplastic,9005.3,Air,1.5,287.83,3805.2,3.17,100.0
P-00058,Plastic Product 58,Paper,11.46,0.66,0.68,Turkey,Plastic,8718.2,Rail,50.68,71.52,779.5,2.38,100.0
P-00059,Leather Product 59,Steel,5.96,0.92,0.44,Germany,Plastic,1914.9,Road,44.27,280.09,2220.8,3.0,100.0
P-00060,Leather Product 60,Polyester,14.24,0.51,0.73,Germany,Plastic,9296.3,Air,108.85,185.7,1334.4,4.41,100.0
P-00061,Plastic Product 61,Steel,2.34,0.67,0.35,Vietnam,Bioplastic,7858.0,Air,39.65,255.67,4586.3,0.51,100.0
P-00062,Wood Product 62,Cotton,4.08,0.65,0.17,China,Plastic,6544.8,Air,46.18,182.57,4832.7,3.94,100.0
P-00063,Plastic Product 63,Steel,2.73,0.4,0.48,UK,Paper,5574.2,Sea,149.66,233.15,4149.5,3.72,100.0
P-00064,Glass Product 64,Steel,7.37,0.27,0.76,USA,Cardboard,7614.1,Road,33.3,38.27,1806.4,1.81,100.0
P-00065,Polyester Product 65,Cotton,5.49,0.35,0.13,UK,Paper,3774.9,Rail,5.06,289.55,2317.7,3.04,100.0
P-00066,Paper Product 66,Aluminum,3.95,0.49,0.26,Vietnam,Cardboard,8052.6,Sea,53.95,241.53,1902.0,0.19,100.0
P-00067,Aluminum Product 67,Paper,11.64,0.57,0.49,Turkey,Bioplastic,8115.6,Rail,14.21,29.09,4332.6,4.23,100.0
P-00068,Glass Product 68,Polyester,10.45,0.56,0.27,USA,Plastic,3330.2,Sea,88.02,173.03,775.8,0.98,100.0
P-00069,Glass Product 69,Glass,14.02,0.48,0.66,Turkey,Bioplastic,11801.0,Sea,32.56,208.48,885.3,0.15,100.0
P-00070,Aluminum Product 70,Glass,6.92,0.29,0.14,Vietnam,Cardboard,4073.7,Air,2.06,98.19,4316.6,3.55,100.0
P-00071,Paper Product 71,Polyester,1.21,0.29,0.25,USA,Plastic,5466.7,Air,116.8,231.44,2179.5,3.92,100.0
P-00072,Wool Product 72,Wood,5.77,0.22,0.59,Brazil,Plastic,4655.4,Rail,66.26,171.87,4041.2,1.58,100.0
